"","gene","n"
"2428","FBXL8",2
"2429","FBXO10",2
"2430","FBXO15",1
"2431","FBXO17",4
"2432","FBXO2",1
"2433","FBXO24",3
"2434","FBXO27",2
"2435","FBXO32",2
"2436","FBXO34",1
"2437","FBXO36",1
"2438","FBXO39",1
"2439","FBXO4",1
"2440","FBXO41",5
"2441","FBXO43",1
"2442","FBXO44",2
"2443","FBXO6",1
"2444","FBXW10",2
"2445","FCAMR",8
"2446","FCAR",4
"2447","FCER1A",1
"2448","FCER1G",2
"2449","FCER2",2
"2450","FCF1",1
"2451","FCGBP",3
"2452","FCGR1A",4
"2453","FCGR2A",3
"2454","FCGR2B",1
"2455","FCGR3A",2
"2456","FCGR3B",5
"2457","FCGRT",1
"2458","FCHO1",3
"2459","FCHSD1",1
"2460","FCMR",4
"2461","FCN1",3
"2462","FCN3",1
"2463","FCRL1",5
"2464","FCRL2",3
"2465","FCRL3",1
"2466","FCRL5",4
"2467","FCRL6",1
"2468","FCRLA",2
"2469","FCRLB",3
"2470","FDCSP",4
"2471","FDPS",1
"2472","FEM1A",24
"2473","FEM1C",1
"2474","FER",1
"2475","FER1L5",1
"2476","FER1L6",2
"2477","FERMT1",16
"2478","FERMT2",6
"2479","FEZ1",5
"2480","FEZF1",2
"2481","FFAR2",2
"2482","FFAR3",4
"2483","FFAR4",2
"2484","FGD1",1
"2485","FGD2",1
"2486","FGD4",2
"2487","FGD5",2
"2488","FGF1",4
"2489","FGF10",5
"2490","FGF11",24
"2491","FGF12",2
"2492","FGF13",2
"2493","FGF17",1
"2494","FGF18",4
"2495","FGF19",11
"2496","FGF2",4
"2497","FGF7",4
"2498","FGF9",1
"2499","FGFBP1",5
"2500","FGFR1",5
"2501","FGFR3",4
"2502","FGFR4",7
"2503","FGFRL1",3
"2504","FGGY",4
"2505","FGL2",5
"2506","FHDC1",4
"2507","FHL1",5
"2508","FHL3",5
"2509","FHL5",1
"2510","FHOD3",4
"2511","FIBCD1",3
"2512","FIBIN",5
"2513","FIGN",2
"2514","FIGNL1",1
"2515","FIGNL2",14
"2516","FILIP1",3
"2517","FILIP1L",5
"2518","FITM1",15
"2519","FJX1",1
"2520","FKBP10",3
"2521","FKBP11",1
"2522","FKBP1B",16
"2523","FLACC1",1
"2524","FLCN",4
"2525","FLG",20
"2526","FLI1",2
"2527","FLNA",7
"2528","FLNC",6
"2529","FLRT1",14
"2530","FLRT2",3
"2531","FLRT3",1
"2532","FLT1",3
"2533","FLT3",2
"2534","FLT3LG",24
"2535","FLT4",1
"2536","FLVCR2",1
"2537","FMC1",24
"2538","FMN1",5
"2539","FMN2",1
"2540","FMO1",2
"2541","FMO2",1
"2542","FMO3",1
"2543","FMO4",1
"2544","FMO5",7
"2545","FN1",4
"2546","FNBP1",3
"2547","FNBP1L",1
"2548","FNDC1",4
"2549","FNDC10",1
"2550","FNDC11",2
"2551","FNDC3B",2
"2552","FNDC4",3
"2553","FNDC5",7
"2554","FOLH1",7
"2555","FOLR1",4
"2556","FOLR2",3
"2557","FOSB",2
"2558","FOSL1",4
"2559","FOXA1",6
"2560","FOXA2",3
"2561","FOXA3",6
"2562","FOXC1",3
"2563","FOXD2",7
"2564","FOXD3",1
"2565","FOXD4",2
"2566","FOXD4L1",1
"2567","FOXF1",4
"2568","FOXF2",2
"2569","FOXH1",3
"2570","FOXJ1",3
"2571","FOXK1",3
"2572","FOXL1",4
"2573","FOXM1",3
"2574","FOXN3",1
"2575","FOXO1",1
"2576","FOXO3",1
"2577","FOXO6",1
"2578","FOXP2",3
"2579","FOXP3",2
"2580","FOXQ1",14
"2581","FOXRED2",9
"2582","FOXS1",3
"2583","FPGT-TNNI3K",3
"2584","FPR1",3
"2585","FPR2",6
"2586","FPR3",4
"2587","FRAS1",5
"2588","FREM1",8
"2589","FREM2",9
"2590","FRK",4
"2591","FRMD1",6
"2592","FRMD4A",1
"2593","FRMD5",17
"2594","FRMD6",4
"2595","FRMPD1",1
"2596","FRMPD3",1
"2597","FRRS1L",1
"2598","FRS3",1
"2599","FRY",2
"2600","FRYL",3
"2601","FRZB",1
"2602","FSBP",6
"2603","FSCN2",3
"2604","FSD1",2
"2605","FSD2",7
"2606","FSIP1",1
"2607","FSIP2",8
"2608","FST",3
"2609","FSTL1",6
"2610","FSTL3",4
"2611","FSTL4",5
"2612","FTCDNL1",1
"2613","FTH1",22
"2614","FTO",1
"2615","FUCA1",1
"2616","FUNDC1",1
"2617","FUT1",6
"2618","FUT10",1
"2619","FUT11",3
"2620","FUT2",3
"2621","FUT3",3
"2622","FUT4",2
"2623","FUT6",3
"2624","FUT7",1
"2625","FUT8",1
"2626","FUZ",4
"2627","FXYD3",21
"2628","FXYD5",3
"2629","FXYD6",4
"2630","FXYD7",1
"2631","FYB1",2
"2632","FZD1",1
"2633","FZD10",5
"2634","FZD3",9
"2635","FZD4",2
"2636","FZD5",4
"2637","FZD7",6
"2638","FZD8",1
"2639","FZD9",3
"2640","G0S2",1
"2641","GAB2",1
"2642","GABARAP",24
"2643","GABARAPL1",1
"2644","GABBR1",2
"2645","GABBR2",3
"2646","GABRA2",3
"2647","GABRA4",7
"2648","GABRB2",6
"2649","GABRB3",5
"2650","GABRE",2
"2651","GABRP",3
"2652","GABRQ",1
"2653","GABRR2",10
"2654","GAD1",1
"2655","GADD45A",2
"2656","GADD45B",5
"2657","GADD45G",6
"2658","GAL",2
"2659","GAL3ST1",4
"2660","GAL3ST2",7
"2661","GAL3ST4",1
"2662","GALE",2
"2663","GALNT12",7
"2664","GALNT14",1
"2665","GALNT15",1
"2666","GALNT16",4
"2667","GALNT17",7
"2668","GALNT18",2
"2669","GALNT3",3
"2670","GALNT4",22
"2671","GALNT5",4
"2672","GALNT6",6
"2673","GALNT8",3
"2674","GALNT9",4
"2675","GALNTL6",1
"2676","GALR2",1
"2677","GAMT",4
"2678","GAP43",2
"2679","GAPT",2
"2680","GAREM2",1
"2681","GAS1",1
"2682","GAS2",10
"2683","GAS2L3",2
"2684","GAS6",3
"2685","GAS7",4
"2686","GAS8",1
"2687","GASK1A",5
"2688","GASK1B",2
"2689","GATA2",2
"2690","GATA3",1
"2691","GATA4",8
"2692","GATD3A",4
"2693","GATD3B",21
"2694","GATM",1
"2695","GBE1",1
"2696","GBGT1",1
"2697","GBP1",1
"2698","GBP3",4
"2699","GBP4",1
"2700","GCG",3
"2701","GCH1",1
"2702","GCHFR",20
"2703","GCKR",1
"2704","GCLM",2
"2705","GCNA",1
"2706","GCNT1",3
"2707","GCNT2",1
"2708","GCNT3",3
"2709","GCNT4",2
"2710","GCOM1",24
"2711","GCSAM",12
"2712","GCSAML",4
"2713","GCSH",24
"2714","GDA",6
"2715","GDAP1L1",17
"2716","GDAP2",1
"2717","GDF11",1
"2718","GDF15",4
"2719","GDF5",2
"2720","GDF6",1
"2721","GDF7",5
"2722","GDF9",1
"2723","GDNF",4
"2724","GDPD2",6
"2725","GDPD3",6
"2726","GDPD5",2
"2727","GEM",5
"2728","GEMIN7",24
"2729","GEN1",2
"2730","GET4",24
"2731","GFAP",6
"2732","GFER",6
"2733","GFI1",2
"2734","GFI1B",4
"2735","GFPT1",3
"2736","GFPT2",2
"2737","GFRA1",2
"2738","GFRA2",3
"2739","GFRA3",1
"2740","GGCT",1
"2741","GGH",7
"2742","GGN",1
"2743","GGPS1",1
"2744","GGT1",20
"2745","GGT5",2
"2746","GGT6",8
"2747","GGT7",1
"2748","GHR",2
"2749","GHRL",1
"2750","GIGYF1",1
"2751","GIMAP1",4
"2752","GIMAP4",1
"2753","GIMAP5",24
"2754","GIMAP6",2
"2755","GIMAP7",3
"2756","GIMAP8",2
"2757","GINS1",4
"2758","GINS2",4
"2759","GINS4",2
"2760","GIPC1",2
"2761","GIPC2",6
"2762","GIPC3",1
"2763","GIPR",6
"2764","GJA1",6
"2765","GJA3",3
"2766","GJA4",5
"2767","GJA5",7
"2768","GJA9",14
"2769","GJB1",7
"2770","GJB2",3
"2771","GJB3",5
"2772","GJB4",4
"2773","GJB5",5
"2774","GJC1",5
"2775","GJC3",10
"2776","GJD3",1
"2777","GK",1
"2778","GKAP1",1
"2779","GLB1L2",1
"2780","GLB1L3",3
"2781","GLCE",3
"2782","GLDC",3
"2783","GLDN",5
"2784","GLI1",3
"2785","GLI3",4
"2786","GLI4",1
"2787","GLIPR1",2
"2788","GLIPR1L2",2
"2789","GLIPR2",4
"2790","GLIS2",4
"2791","GLIS3",1
"2792","GLOD5",8
"2793","GLP2R",5
"2794","GLRA2",6
"2795","GLRB",5
"2796","GLRX2",7
"2797","GLS2",10
"2798","GLT8D2",3
"2799","GLTPD2",4
"2800","GLUD2",3
"2801","GLUL",1
"2802","GLYATL1",15
"2803","GLYCTK",2
"2804","GM2A",1
"2805","GMDS",4
"2806","GMPR",1
"2807","GNA11",1
"2808","GNA14",2
"2809","GNA15",1
"2810","GNAI1",1
"2811","GNAL",6
"2812","GNAO1",6
"2813","GNAZ",6
"2814","GNB1L",1
"2815","GNB3",4
"2816","GNB4",4
"2817","GNB5",2
"2818","GNE",1
"2819","GNG10",24
"2820","GNG11",4
"2821","GNG12",1
"2822","GNG2",2
"2823","GNG3",2
"2824","GNG4",8
"2825","GNG5",24
"2826","GNG7",3
"2827","GNG8",6
"2828","GNL3L",5
"2829","GNLY",1
"2830","GNMT",6
"2831","GNPTAB",1
"2832","GNRH1",8
"2833","GNRH2",1
"2834","GNS",1
"2835","GOLGA6L10",8
"2836","GOLGA6L4",24
"2837","GOLGA6L9",24
"2838","GOLGA7",3
"2839","GOLGA8A",18
"2840","GOLGA8B",13
"2841","GOLGA8H",16
"2842","GOLGA8N",24
"2843","GOLGA8O",23
"2844","GOLGA8Q",23
"2845","GOLGA8R",21
"2846","GOLM1",5
"2847","GOLT1A",18
"2848","GP1BA",16
"2849","GP6",4
"2850","GPA33",7
"2851","GPAT2",1
"2852","GPATCH8",1
"2853","GPBAR1",3
"2854","GPC2",1
"2855","GPC6",4
"2856","GPD1",3
"2857","GPD2",3
"2858","GPER1",2
"2859","GPIHBP1",4
"2860","GPM6B",9
"2861","GPNMB",4
"2862","GPR132",2
"2863","GPR135",4
"2864","GPR137C",2
"2865","GPR141",2
"2866","GPR142",1
"2867","GPR143",13
"2868","GPR146",7
"2869","GPR15",6
"2870","GPR150",2
"2871","GPR155",1
"2872","GPR156",3
"2873","GPR158",2
"2874","GPR160",5
"2875","GPR161",4
"2876","GPR162",4
"2877","GPR17",8
"2878","GPR171",2
"2879","GPR173",4
"2880","GPR174",2
"2881","GPR176",1
"2882","GPR179",3
"2883","GPR18",9
"2884","GPR182",10
"2885","GPR183",2
"2886","GPR19",2
"2887","GPR20",1
"2888","GPR22",22
"2889","GPR25",6
"2890","GPR27",2
"2891","GPR3",3
"2892","GPR34",2
"2893","GPR35",2
"2894","GPR37L1",5
"2895","GPR39",7
"2896","GPR4",1
"2897","GPR52",9
"2898","GPR61",15
"2899","GPR65",2
"2900","GPR68",2
"2901","GPR75",1
"2902","GPR82",9
"2903","GPR83",1
"2904","GPR84",2
"2905","GPR85",1
"2906","GPR89A",22
"2907","GPR89B",21
"2908","GPRASP1",3
"2909","GPRASP2",3
"2910","GPRC5A",7
"2911","GPRC5B",1
"2912","GPRC5D",13
"2913","GPRIN1",2
"2914","GPRIN2",18
"2915","GPRIN3",3
"2916","GPS2",24
"2917","GPSM1",4
"2918","GPT",12
"2919","GPT2",3
"2920","GPX2",4
"2921","GPX3",3
"2922","GPX7",1
"2923","GPX8",1
"2924","GRAMD1A",1
"2925","GRAMD1B",1
"2926","GRAMD1C",2
"2927","GRAMD2A",6
"2928","GRAP",23
"2929","GRAP2",2
"2930","GRB14",2
"2931","GRB7",4
"2932","GREB1",1
"2933","GREB1L",12
"2934","GREM1",3
"2935","GREM2",3
"2936","GRHL2",3
"2937","GRHL3",13
"2938","GRIA3",1
"2939","GRIA4",1
"2940","GRID1",2
"2941","GRID2IP",4
"2942","GRIK1",11
"2943","GRIK2",1
"2944","GRIK3",3
"2945","GRIK4",1
"2946","GRIK5",3
"2947","GRIN1",17
"2948","GRIN2A",5
"2949","GRIN2B",18
"2950","GRIN2C",1
"2951","GRIN2D",6
"2952","GRIN3A",10
"2953","GRIN3B",6
"2954","GRIP1",3
"2955","GRIP2",7
"2956","GRK1",6
"2957","GRK3",3
"2958","GRK4",9
"2959","GRK5",1
"2960","GRK7",1
"2961","GRM2",4
"2962","GRM4",5
"2963","GRM8",12
"2964","GRP",9
"2965","GRPR",5
"2966","GRTP1",2
"2967","GSDMA",5
"2968","GSDMB",2
"2969","GSDMC",1
"2970","GSDMD",1
"2971","GSDME",1
"2972","GSG1",23
"2973","GSN",7
"2974","GSPT1",1
"2975","GSPT2",3
"2976","GSR",1
"2977","GSTA1",3
"2978","GSTK1",1
"2979","GSTM1",3
"2980","GSTM2",9
"2981","GSTM3",3
"2982","GSTM4",1
"2983","GSTM5",5
"2984","GSTO2",4
"2985","GSTP1",2
"2986","GSTT2B",11
"2987","GTF2H2",1
"2988","GTF2H2C",8
"2989","GTF2H4",24
"2990","GTF2I",20
"2991","GTF2IRD1",2
"2992","GTF2IRD2",21
"2993","GTF2IRD2B",22
"2994","GTF3A",1
"2995","GTPBP8",1
"2996","GTSE1",2
"2997","GUCA1B",7
"2998","GUCA2A",9
"2999","GUCA2B",3
"3000","GUCY1A1",6
"3001","GUCY1A2",5
"3002","GUCY1B1",6
"3003","GUCY2C",3
"3004","GUCY2D",7
"3005","GULP1",2
"3006","GXYLT2",14
"3007","GYG1",2
"3008","GYG2",5
"3009","GYPC",4
"3010","GYPE",22
"3011","GZMB",5
"3012","GZMH",1
"3013","GZMK",3
"3014","H6PD",1
"3015","HABP2",1
"3016","HABP4",3
"3017","HACD1",5
"3018","HACD4",3
"3019","HAGHL",3
"3020","HAL",1
"3021","HAND2",5
"3022","HAP1",1
"3023","HAPLN1",9
"3024","HAPLN4",16
"3025","HAS1",3
"3026","HAS2",2
"3027","HAS3",13
"3028","HASPIN",4
"3029","HAUS4",6
"3030","HAUS7",24
"3031","HAVCR1",8
"3032","HAVCR2",1
"3033","HBA1",1
"3034","HBA2",3
"3035","HBB",3
"3036","HBEGF",5
"3037","HCAR1",7
"3038","HCAR2",5
"3039","HCAR3",4
"3040","HCFC1R1",2
"3041","HCN1",9
"3042","HCN2",1
"3043","HCN3",2
"3044","HCST",3
"3045","HDAC10",24
"3046","HDAC2",1
"3047","HDAC9",2
"3048","HDC",1
"3049","HDDC2",1
"3050","HDDC3",1
"3051","HDGFL3",3
"3052","HDHD2",24
"3053","HDHD3",2
"3054","HDX",1
"3055","HEATR4",16
"3056","HEATR5A",1
"3057","HECTD2",2
"3058","HECW1",2
"3059","HECW2",2
"3060","HEG1",4
"3061","HELB",21
"3062","HELLS",2
"3063","HELZ2",2
"3064","HENMT1",1
"3065","HEPHL1",17
"3066","HERC2",1
"3067","HERC3",24
"3068","HERC5",2
"3069","HES1",2
"3070","HES2",5
"3071","HES4",3
"3072","HES5",4
"3073","HES6",1
"3074","HESX1",2
"3075","HEXA",22
"3076","HEXB",1
"3077","HEXD",2
"3078","HEXIM1",1
"3079","HEXIM2",2
"3080","HEY2",2
"3081","HEYL",4
"3082","HFM1",1
"3083","HGD",6
"3084","HGF",5
"3085","HHIP",2
"3086","HHIPL1",5
"3087","HHIPL2",20
"3088","HHLA2",12
"3089","HIC1",4
"3090","HID1",3
"3091","HIF1A",1
"3092","HIF3A",3
"3093","HIGD1A",9
"3094","HIGD1B",3
"3095","HILPDA",4
"3096","HINT2",24
"3097","HINT3",1
"3098","HIP1",2
"3099","HIP1R",1
"3100","HIPK2",3
"3101","HIPK3",1
"3102","HIRA",3
"3103","HIRIP3",1
"3104","HIVEP1",1
"3105","HIVEP2",1
"3106","HIVEP3",1
"3107","HJURP",2
"3108","HK2",3
"3109","HK3",2
"3110","HKDC1",7
"3111","HLA-C",2
"3112","HLA-DMA",1
"3113","HLA-DMB",2
"3114","HLA-DOA",2
"3115","HLA-DOB",4
"3116","HLA-DPA1",2
"3117","HLA-DPB1",2
"3118","HLA-DQA1",2
"3119","HLA-DQA2",24
"3120","HLA-DQB2",19
"3121","HLA-DRA",2
"3122","HLA-DRB1",2
"3123","HLA-DRB5",8
"3124","HLA-F",6
"3125","HLA-G",12
"3126","HLF",10
"3127","HLX",5
"3128","HMCN1",6
"3129","HMCN2",3
"3130","HMG20B",1
"3131","HMGA1",3
"3132","HMGA2",9
"3133","HMGB3",1
"3134","HMGCR",4
"3135","HMGCS1",1
"3136","HMGCS2",5
"3137","HMGN2",1
"3138","HMGN3",2
"3139","HMGN5",2
"3140","HMMR",2
"3141","HMSD",1
"3142","HMX3",5
"3143","HNF1A",3
"3144","HNF1B",4
"3145","HNF4A",5
"3146","HNF4G",3
"3147","HNRNPA1L2",8
"3148","HNRNPUL2",14
"3149","HOGA1",5
"3150","HOMER1",7
"3151","HOMER3",4
"3152","HOOK1",3
"3153","HOPX",3
"3154","HORMAD1",3
"3155","HOXA11",5
"3156","HOXA13",3
"3157","HOXA3",1
"3158","HOXA4",10
"3159","HOXB13",2
"3160","HOXB2",5
"3161","HOXB3",1
"3162","HOXB4",3
"3163","HOXB5",3
"3164","HOXB7",3
"3165","HOXB8",10
"3166","HOXB9",8
"3167","HOXC4",4
"3168","HOXC6",2
"3169","HOXD1",12
"3170","HOXD10",3
"3171","HOXD11",7
"3172","HOXD12",2
"3173","HOXD13",4
"3174","HOXD3",2
"3175","HOXD4",20
"3176","HOXD8",1
"3177","HOXD9",2
"3178","HP",6
"3179","HP1BP3",1
"3180","HPD",2
"3181","HPDL",3
"3182","HPGD",3
"3183","HPGDS",3
"3184","HPN",4
"3185","HPR",1
"3186","HPSE",2
"3187","HPSE2",1
"3188","HRC",3
"3189","HRCT1",6
"3190","HRH2",2
"3191","HRH4",2
"3192","HRNR",22
"3193","HS2ST1",1
"3194","HS3ST1",2
"3195","HS3ST2",3
"3196","HS3ST3A1",3
"3197","HS3ST3B1",1
"3198","HS6ST2",16
"3199","HSBP1L1",2
"3200","HSD11B1",2
"3201","HSD11B2",8
"3202","HSD17B1",3
"3203","HSD17B13",5
"3204","HSD17B14",3
"3205","HSD17B2",9
"3206","HSD17B6",4
"3207","HSD3B7",1
"3208","HSF2BP",7
"3209","HSF4",2
"3210","HSH2D",3
"3211","HSPA12A",6
"3212","HSPA12B",2
"3213","HSPA1A",14
"3214","HSPA1B",18
"3215","HSPA2",5
"3216","HSPA4L",7
"3217","HSPA6",5
"3218","HSPA8",1
"3219","HSPB1",3
"3220","HSPB11",1
"3221","HSPB6",3
"3222","HSPB7",6
"3223","HSPB8",4
"3224","HSPE1",6
"3225","HTD2",24
"3226","HTR1B",4
"3227","HTR1D",7
"3228","HTR1F",5
"3229","HTR2A",1
"3230","HTR2B",12
"3231","HTR3A",1
"3232","HTR4",5
"3233","HTR6",1
"3234","HTR7",1
"3235","HTRA3",6
"3236","HUNK",10
"3237","HUWE1",1
"3238","HVCN1",4
"3239","HYAL4",1
"3240","HYLS1",1
"3241","HYPK",24
"3242","IBSP",3
"3243","ICA1",2
"3244","ICA1L",2
"3245","ICAM2",8
"3246","ICAM3",24
"3247","ICAM5",2
"3248","ICOS",4
"3249","ICOSLG",13
"3250","ID1",2
"3251","ID4",2
"3252","IDE",1
"3253","IDH1",2
"3254","IDS",23
"3255","IDUA",2
"3256","IER2",16
"3257","IER3",2
"3258","IER5",3
"3259","IFFO1",3
"3260","IFFO2",2
"3261","IFI16",2
"3262","IFI27",2
"3263","IFI27L1",4
"3264","IFI35",1
"3265","IFI44L",1
"3266","IFIT3",1
"3267","IFIT5",1
"3268","IFITM10",23
"3269","IFITM2",1
"3270","IFNAR2",24
"3271","IFNLR1",7
"3272","IFT140",1
"3273","IFT20",1
"3274","IFT80",4
"3275","IGDCC4",1
"3276","IGF1",3
"3277","IGF1R",1
"3278","IGF2BP1",8
"3279","IGF2BP2",4
"3280","IGF2BP3",1
"3281","IGF2R",1
"3282","IGFALS",1
"3283","IGFBP2",1
"3284","IGFBP3",1
"3285","IGFBP4",2
"3286","IGFBP5",4
"3287","IGFBP6",2
"3288","IGFBP7",5
"3289","IGFBPL1",1
"3290","IGFL2",2
"3291","IGFL4",24
"3292","IGFLR1",24
"3293","IGFN1",5
"3294","IGIP",1
"3295","IGLL5",22
"3296","IGLON5",3
"3297","IGSF1",1
"3298","IGSF10",1
"3299","IGSF11",1
"3300","IGSF21",2
"3301","IGSF23",15
"3302","IGSF3",4
"3303","IGSF5",3
"3304","IGSF6",4
"3305","IGSF9",5
"3306","IGSF9B",3
"3307","IHH",5
"3308","IKBKE",1
"3309","IKBKG",24
"3310","IKZF1",2
"3311","IKZF3",3
"3312","IL10RB",24
"3313","IL11",3
"3314","IL12A",2
"3315","IL12RB1",1
"3316","IL12RB2",1
"3317","IL16",2
"3318","IL17B",3
"3319","IL17D",5
"3320","IL17RB",4
"3321","IL17RD",1
"3322","IL17RE",2
"3323","IL17REL",6
"3324","IL18",1
"3325","IL18R1",1
"3326","IL18RAP",1
"3327","IL1A",4
"3328","IL1B",2
"3329","IL1R1",3
"3330","IL1R2",3
"3331","IL1RAP",1
"3332","IL1RL1",2
"3333","IL1RL2",1
"3334","IL1RN",2
"3335","IL20RA",6
"3336","IL20RB",1
"3337","IL21R",1
"3338","IL22RA1",6
"3339","IL23A",5
"3340","IL23R",6
"3341","IL24",5
"3342","IL2RA",2
"3343","IL2RG",11
"3344","IL33",2
"3345","IL34",2
"3346","IL4I1",2
"3347","IL5RA",2
"3348","IL6",2
"3349","IL6R",1
"3350","IL6ST",2
"3351","IL7",2
"3352","IL7R",5
"3353","IL9R",21
"3354","ILDR1",6
"3355","ILDR2",3
"3356","ILK",24
"3357","IMP3",2
"3358","IMPG1",18
"3359","INA",2
"3360","INAFM1",1
"3361","INAVA",7
"3362","INCA1",1
"3363","INCENP",2
"3364","INHA",1
"3365","INHBA",4
"3366","INHBB",1
"3367","INHBE",5
"3368","INKA1",3
"3369","INMT",4
"3370","INO80E",3
"3371","INPP4B",6
"3372","INPP5A",2
"3373","INPP5D",3
"3374","INPP5J",1
"3375","INSC",3
"3376","INSIG1",1
"3377","INSL3",12
"3378","INSM1",1
"3379","INSRR",1
"3380","INSYN1",3
"3381","INSYN2A",11
"3382","INSYN2B",8
"3383","INTS6L",1
"3384","IP6K2",2
"3385","IP6K3",2
"3386","IPMK",2
"3387","IPO11",2
"3388","IPO4",24
"3389","IPO5",1
"3390","IPPK",5
"3391","IQANK1",3
"3392","IQCA1",2
"3393","IQCG",1
"3394","IQCH",5
"3395","IQCJ-SCHIP1",23
"3396","IQCM",3
"3397","IQCN",1
"3398","IQGAP1",2
"3399","IQGAP2",2
"3400","IQGAP3",2
"3401","IQSEC3",2
"3402","IRAK1BP1",1
"3403","IRAK3",1
"3404","IRF3",1
"3405","IRF4",6
"3406","IRF6",3
"3407","IRF9",24
"3408","IRS1",3
"3409","IRS2",4
"3410","IRX2",1
"3411","IRX5",2
"3412","ISG20",1
"3413","ISL1",1
"3414","ISL2",2
"3415","ISLR",3
"3416","ISLR2",2
"3417","ISM1",5
"3418","ISM2",13
"3419","ISX",6
"3420","ITFG1",1
"3421","ITGA10",3
"3422","ITGA11",3
"3423","ITGA2",10
"3424","ITGA2B",1
"3425","ITGA3",1
"3426","ITGA4",3
"3427","ITGA5",4
"3428","ITGA6",3
"3429","ITGA7",3
"3430","ITGA8",4
"3431","ITGA9",4
"3432","ITGAM",1
"3433","ITGB1",2
"3434","ITGB1BP2",3
"3435","ITGB2",3
"3436","ITGB3",8
"3437","ITGB4",4
"3438","ITGB6",4
"3439","ITGB7",7
"3440","ITGB8",1
"3441","ITGBL1",3
"3442","ITIH3",2
"3443","ITIH4",24
"3444","ITIH5",7
"3445","ITLN1",1
"3446","ITLN2",6
"3447","ITM2A",3
"3448","ITM2C",8
"3449","ITPKA",4
"3450","ITPKB",1
"3451","ITPKC",1
"3452","ITPR1",4
"3453","ITPR2",3
"3454","ITPR3",2
"3455","ITPRID1",3
"3456","IVNS1ABP",1
"3457","IYD",6
"3458","JADE3",1
"3459","JAK1",1
"3460","JAKMIP1",6
"3461","JAKMIP3",3
"3462","JAM2",5
"3463","JAM3",3
"3464","JARID2",1
"3465","JAZF1",4
"3466","JCAD",3
"3467","JCHAIN",7
"3468","JHY",1
"3469","JMJD1C",1
"3470","JMJD4",3
"3471","JMJD7",24
"3472","JMJD7-PLA2G4B",15
"3473","JMJD8",2
"3474","JOSD2",1
"3475","JPH1",3
"3476","JPH2",3
"3477","JPH3",5
"3478","JPH4",1
"3479","JPT1",1
"3480","JRKL",1
"3481","JSRP1",3
"3482","JTB",24
"3483","JUN",1
"3484","JUP",4
"3485","KALRN",1
"3486","KANK1",4
"3487","KANK2",3
"3488","KANK3",11
"3489","KANK4",1
"3490","KAT2A",1
"3491","KAT5",1
"3492","KATNAL1",3
"3493","KATNAL2",1
"3494","KAZALD1",1
"3495","KAZN",1
"3496","KBTBD11",5
"3497","KBTBD4",5
"3498","KCNA2",4
"3499","KCNA3",6
"3500","KCNA5",3
"3501","KCNAB1",8
"3502","KCNAB2",1
"3503","KCNAB3",1
"3504","KCNB1",7
"3505","KCNC1",9
"3506","KCNC3",3
"3507","KCNC4",1
"3508","KCND1",1
"3509","KCND2",3
"3510","KCND3",3
"3511","KCNE1",4
"3512","KCNE3",3
"3513","KCNE4",6
"3514","KCNE5",1
"3515","KCNF1",1
"3516","KCNG1",1
"3517","KCNG2",4
"3518","KCNG3",2
"3519","KCNH1",3
"3520","KCNH2",8
"3521","KCNH3",2
"3522","KCNH6",2
"3523","KCNH8",2
"3524","KCNIP1",3
"3525","KCNIP2",2
"3526","KCNIP3",5
"3527","KCNIP4",1
"3528","KCNJ10",15
"3529","KCNJ11",3
"3530","KCNJ12",1
"3531","KCNJ13",23
"3532","KCNJ14",2
"3533","KCNJ16",3
"3534","KCNJ2",2
"3535","KCNJ3",3
"3536","KCNJ5",1
"3537","KCNJ6",3
"3538","KCNJ8",6
"3539","KCNJ9",12
"3540","KCNK1",3
"3541","KCNK10",3
"3542","KCNK12",2
"3543","KCNK15",1
"3544","KCNK3",5
"3545","KCNK5",3
"3546","KCNK7",1
"3547","KCNK9",2
"3548","KCNMA1",4
"3549","KCNMB1",4
"3550","KCNMB3",1
"3551","KCNN1",1
"3552","KCNN2",3
"3553","KCNN3",3
"3554","KCNN4",5
"3555","KCNQ1",11
"3556","KCNQ3",4
"3557","KCNQ4",4
"3558","KCNQ5",1
"3559","KCNS1",9
"3560","KCNS2",8
"3561","KCNS3",3
"3562","KCNT1",4
"3563","KCNT2",1
"3564","KCNV1",5
"3565","KCNV2",21
"3566","KCP",1
"3567","KCTD1",2
"3568","KCTD14",4
"3569","KCTD15",3
"3570","KCTD16",1
"3571","KCTD4",7
"3572","KCTD7",1
"3573","KDF1",3
"3574","KDM1B",4
"3575","KDM4A",3
"3576","KDM4D",4
"3577","KDM5D",4
"3578","KDM6A",1
"3579","KDM7A",2
"3580","KDR",2
"3581","KEL",1
"3582","KERA",1
"3583","KHDC1",2
"3584","KHDRBS3",1
"3585","KHK",2
"3586","KIAA0040",1
"3587","KIAA0319",3
"3588","KIAA0513",1
"3589","KIAA0895L",1
"3590","KIAA1109",1
"3591","KIAA1217",4
"3592","KIAA1522",3
"3593","KIAA1549",11
"3594","KIAA1549L",1
"3595","KIAA1614",2
"3596","KIAA1755",2
"3597","KIAA1958",1
"3598","KIAA2012",11
"3599","KIF11",3
"3600","KIF12",5
"3601","KIF14",4
"3602","KIF15",3
"3603","KIF16B",1
"3604","KIF17",3
"3605","KIF18A",3
"3606","KIF18B",3
"3607","KIF19",3
"3608","KIF1A",2
"3609","KIF1B",1
