"","gene","n"
"500","ARRDC3",2
"501","ARRDC5",1
"502","ARSB",2
"503","ARSI",4
"504","ART4",1
"505","ARTN",1
"506","ARV1",1
"507","ARVCF",1
"508","ARX",3
"509","ASAP1",1
"510","ASB12",4
"511","ASB14",23
"512","ASB16",21
"513","ASB2",6
"514","ASB3",1
"515","ASB4",3
"516","ASB9",2
"517","ASCC3",2
"518","ASCL2",18
"519","ASCL5",14
"520","ASF1A",1
"521","ASF1B",2
"522","ASGR1",1
"523","ASIC1",8
"524","ASIC2",1
"525","ASIC3",2
"526","ASL",3
"527","ASNS",24
"528","ASPA",1
"529","ASPDH",8
"530","ASPG",9
"531","ASPHD1",3
"532","ASPHD2",3
"533","ASPM",9
"534","ASPN",5
"535","ASPRV1",1
"536","ASRGL1",11
"537","ASS1",2
"538","ASTL",1
"539","ASTN2",2
"540","ASXL3",10
"541","ATAD2",3
"542","ATAD3B",2
"543","ATAD3C",3
"544","ATAD5",8
"545","ATCAY",1
"546","ATF3",4
"547","ATF6",1
"548","ATF7IP2",2
"549","ATG101",10
"550","ATG4B",1
"551","ATG4D",1
"552","ATG9B",13
"553","ATL1",3
"554","ATOH1",1
"555","ATP10A",5
"556","ATP10B",7
"557","ATP10D",1
"558","ATP11A",8
"559","ATP13A3",2
"560","ATP13A4",1
"561","ATP1A1",1
"562","ATP1A2",5
"563","ATP1A3",3
"564","ATP1B1",4
"565","ATP1B2",4
"566","ATP2A1",1
"567","ATP2A3",5
"568","ATP2B3",1
"569","ATP2B4",4
"570","ATP2C2",5
"571","ATP5IF1",1
"572","ATP5ME",3
"573","ATP5MG",23
"574","ATP5PO",15
"575","ATP6V0C",24
"576","ATP6V0D2",3
"577","ATP6V0E2",2
"578","ATP6V1C2",8
"579","ATP6V1E2",1
"580","ATP6V1FNB",12
"581","ATP6V1G2",3
"582","ATP7A",1
"583","ATP7B",3
"584","ATP8A1",2
"585","ATP8A2",1
"586","ATP8B1",2
"587","ATP8B2",4
"588","ATP8B3",2
"589","ATP9A",3
"590","ATRN",2
"591","ATRNL1",3
"592","ATRX",1
"593","ATXN1",2
"594","ATXN7L2",1
"595","AUNIP",7
"596","AURKA",3
"597","AURKB",3
"598","AURKC",1
"599","AUTS2",1
"600","AVIL",1
"601","AVL9",3
"602","AVPI1",1
"603","AVPR1A",3
"604","AVPR2",1
"605","AXDND1",5
"606","AXIN2",14
"607","AXL",4
"608","AZGP1",12
"609","AZIN2",2
"610","B3GALNT1",2
"611","B3GALT2",2
"612","B3GALT5",5
"613","B3GAT1",1
"614","B3GAT2",6
"615","B3GNT3",3
"616","B3GNT4",7
"617","B3GNT5",2
"618","B3GNT7",6
"619","B3GNT8",3
"620","B4GALNT1",2
"621","B4GALNT3",4
"622","BAALC",3
"623","BAAT",6
"624","BABAM1",23
"625","BACE1",1
"626","BACH2",2
"627","BAD",7
"628","BAG2",5
"629","BAG3",1
"630","BAIAP2L1",3
"631","BAIAP2L2",6
"632","BAIAP3",1
"633","BAMBI",2
"634","BANK1",2
"635","BARX1",3
"636","BARX2",2
"637","BASP1",3
"638","BATF2",5
"639","BATF3",2
"640","BAZ2B",1
"641","BBOF1",3
"642","BBS1",24
"643","BBS5",21
"644","BBX",1
"645","BCAN",22
"646","BCAP29",12
"647","BCAS1",3
"648","BCAS4",8
"649","BCAT1",4
"650","BCHE",5
"651","BCKDHA",24
"652","BCL10",1
"653","BCL11A",18
"654","BCL11B",4
"655","BCL2",2
"656","BCL2A1",1
"657","BCL2L10",3
"658","BCL2L14",3
"659","BCL2L15",3
"660","BCL2L2",2
"661","BCL6",1
"662","BCL6B",1
"663","BCL7C",2
"664","BCO2",5
"665","BDH1",2
"666","BDH2",1
"667","BDKRB1",6
"668","BDKRB2",1
"669","BEAN1",13
"670","BEGAIN",1
"671","BEND3",4
"672","BEND4",3
"673","BEND5",3
"674","BEND6",5
"675","BEND7",4
"676","BEST1",1
"677","BEST2",4
"678","BEST4",2
"679","BEX1",2
"680","BEX2",2
"681","BEX3",1
"682","BEX4",4
"683","BFSP1",1
"684","BGN",2
"685","BHLHA15",8
"686","BHLHE22",1
"687","BHMT2",3
"688","BICC1",3
"689","BICD1",1
"690","BICDL1",3
"691","BICDL2",5
"692","BIK",4
"693","BIN1",2
"694","BIN3",4
"695","BIRC3",2
"696","BIRC5",3
"697","BIRC6",3
"698","BLK",3
"699","BLM",3
"700","BLOC1S1",15
"701","BLVRA",3
"702","BMERB1",4
"703","BMP2",3
"704","BMP2K",1
"705","BMP3",4
"706","BMP4",5
"707","BMP5",6
"708","BMP6",3
"709","BMP7",7
"710","BMP8A",1
"711","BMP8B",2
"712","BMPER",1
"713","BMPR1A",1
"714","BMPR1B",1
"715","BMPR2",1
"716","BMX",2
"717","BNC2",3
"718","BNIP3",4
"719","BNIP5",3
"720","BNIPL",1
"721","BOC",6
"722","BOK",2
"723","BOLA2-SMG1P6",24
"724","BOLA2B",20
"725","BORA",1
"726","BORCS7",1
"727","BPI",1
"728","BRCA1",7
"729","BRCA2",18
"730","BRF2",2
"731","BRI3BP",3
"732","BRICD5",1
"733","BRINP1",1
"734","BRINP3",2
"735","BRIP1",3
"736","BRSK1",4
"737","BRSK2",13
"738","BRWD3",1
"739","BSCL2",24
"740","BSN",6
"741","BSPRY",3
"742","BST1",2
"743","BTBD11",6
"744","BTBD16",1
"745","BTBD18",23
"746","BTBD19",4
"747","BTBD8",1
"748","BTBD9",1
"749","BTC",2
"750","BTD",1
"751","BTK",3
"752","BTLA",2
"753","BTN1A1",10
"754","BTNL3",14
"755","BTNL8",10
"756","BTNL9",4
"757","BUB1",4
"758","BUB1B",3
"759","BUD31",1
"760","BVES",4
"761","C10orf143",1
"762","C10orf88",1
"763","C10orf95",14
"764","C10orf99",8
"765","C11orf42",6
"766","C11orf53",4
